k,k',investment,v(k)
4.452577663577964,4.595060148812452,0.4096371450491665,8.180682963952242
4.458514433796068,4.600996919030556,0.4099933512622522,8.185797895605626
4.464451204014171,4.60693368924866,0.41034955747533886,8.190905938902805
4.470387974232275,4.612870459466763,0.4107057636884255,8.196008718884455
4.476324744450379,4.618807229684867,0.4110619699015112,8.20110628977332
4.482261514668482,4.624743999902971,0.41141817611459786,8.206200316915018
4.488198284886586,4.630680770121074,0.4117743823276836,8.21129093691114
4.49413505510469,4.636617540339178,0.4121305885407702,8.216378118876124
4.500071825322793,4.642554310557282,0.41248679475385597,8.22146106476963
4.506008595540897,4.648491080775385,0.4128430009669426,8.226540458982424
4.511945365759001,4.648491080775385,0.40726243696192466,8.231617433566385
4.517882135977104,4.654427850993489,0.4076186431750113,8.236689896028434
4.523818906195208,4.660364621211593,0.407974849388097,8.24175709496477
4.529755676413312,4.6663013914296965,0.40833105560118366,8.246819439506613
4.5356924466314155,4.6722381616478,0.4086872618142703,8.251877959581137
4.541629216849519,4.678174931865904,0.409043468027356,8.256931053208671
4.547565987067623,4.6841117020840075,0.40939967424044266,8.261979415404957
4.5535027572857265,4.690048472302111,0.4097558804535284,8.267023617737836
4.55943952750383,4.695985242520215,0.410112086666615,8.272063634244573
4.565376297721934,4.701922012738319,0.41046829287970077,8.277099995487252
4.5713130679400376,4.701922012738319,0.4048877288746837,8.282133024018794
4.577249838158141,4.707858782956422,0.40524393508776946,8.287163256395031
4.583186608376245,4.713795553174526,0.4056001413008561,8.292188182787188
4.589123378594349,4.71973232339263,0.40595634751394183,8.297209339426956
4.595060148812452,4.725669093610733,0.40631255372702846,8.302226848114193
4.600996919030556,4.731605863828837,0.4066687599401142,8.307239084051135
4.60693368924866,4.737542634046941,0.40702496615320083,8.312244786757493
4.612870459466763,4.743479404265044,0.40738117236628746,8.317245647220066
4.618807229684867,4.749416174483148,0.4077373785793732,8.322241720164227
4.624743999902971,4.755352944701252,0.40809358479245983,8.327234738575568
4.630680770121074,4.755352944701252,0.4025130207874419,8.332224843005143
4.636617540339178,4.761289714919355,0.4028692270005285,8.337211999545362
4.642554310557282,4.767226485137459,0.40322543321361426,8.34219537517617
4.648491080775385,4.773163255355563,0.4035816394267009,8.347175681083641
4.654427850993489,4.779100025573666,0.40393784563978663,8.352151496490425
